库/主题,子类(为何是一组),条目,标识,备注
CMR (CLP 附件VI),CLP 组条目 index 612-023-00-9 覆盖 4 个成员,phenylhydrazine [1] / phenylhydrazinium chloride [2] / phenylhydrazine hydrochloride [3] / phenylhydrazinium sulphate (2:1)  [4],,
CMR (CLP 附件VI),CLP 组条目 index 612-070-00-5 覆盖 4 个成员,salts of benzidine [ [1] / salts of benzidine [ [2] / salts of benzidine [ [3] / salts of benzidine [ [4],,
CMR (CLP 附件VI),CLP 组条目 index 612-071-00-0 覆盖 2 个成员,salts of 2-naphthylamine [1] / salts of 2-naphthylamine [2],,
CMR (CLP 附件VI),CLP 组条目 index 612-081-00-5 覆盖 3 个成员,"salts of 4,4'-bi-o-toluidine; salts of 3,3'-dimethylbenzidin / salts of 4,4'-bi-o-toluidine; salts of 3,3'-dimethylbenzidin / salts of 4,4'-bi-o-toluidine; salts of 3,3'-dimethylbenzidin",,
CMR (CLP 附件VI),CLP 组条目 index 612-196-00-0 覆盖 2 个成员,4-chloro-o-toluidine [1] / 4-chloro-o-toluidine hydrochloride  [2],,
CMR (CLP 附件VI),CLP 组条目 index 612-197-00-6 覆盖 2 个成员,"2,4,5-trimethylaniline [1] / 2,4,5-trimethylaniline hydrochloride  [2]",,
CMR (CLP 附件VI),CLP 组条目 index 612-200-00-0 覆盖 2 个成员,"2,4-diaminoanisole; 4-methoxy-m-phenylenediamine [1] / 2,4-diaminoanisole sulphate  [2]",,
CMR (CLP 附件VI),CLP 组条目 index 650-013-00-6 覆盖 7 个成员,asbestos [1] / asbestos [2] / asbestos [3] / asbestos [4] / asbestos [5] / asbestos [6] / asbestos [7],,
CMR (CLP 附件VI),六价铬化合物泛化条目(组),"Chromium (VI) compounds, with the exception of barium chromate and of compounds specified elsewhere in this Annex",index=024-017-00-8  EC=None  CAS=None,
CMR (CLP 附件VI),联苯胺系偶氮染料组,"Benzidine based azo dyes; 4,4'-diarylazobiphenyl dyes, with the exception of those specified elsewhere in this Annex",index=611-024-00-1  EC=None  CAS=None,
EU 10/2011 组限量 SML(T),组 1(2 个成员),"128=acetaldehyde; 211=propionic acid, vinyl ester",,SML(T)=6.0 mg/kg; 限制: expressed as acetaldehyde
EU 10/2011 组限量 SML(T),组 2(4 个成员),89=FCM 89(未收录); 227=ethyleneglycol; 263=diethyleneglycol; 1048=ethylene glycol dipalmitate,,SML(T)=30.0 mg/kg; 限制: expressed as ethyleneglycol
EU 10/2011 组限量 SML(T),组 3(2 个成员),234=maleic anhydride; 248=maleic acid,,SML(T)=30.0 mg/kg; 限制: expressed as maleic acid
EU 10/2011 组限量 SML(T),组 4(2 个成员),"212=caprolactam; 435=caprolactam, sodium salt",,SML(T)=15.0 mg/kg; 限制: expressed as caprolactam
EU 10/2011 组限量 SML(T),组 5(2 个成员),"137=2,2′-methylenebis(4-methyl-6-(1-methylcy; 472=2,2′-methylenebis(4-methyl-6-cyclohexylp",,SML(T)=3.0 mg/kg; 限制: expressed as the sum of the substances
EU 10/2011 组限量 SML(T),组 6(4 个成员),412=FCM 412(未收录); 512=potassium iodide; 513=sodium iodide; 588=lithium iodide,,SML(T)=1.0 mg/kg; 限制: expressed as iodine
EU 10/2011 组限量 SML(T),组 7(3 个成员),19=FCM 19(未收录); 20=FCM 20(未收录); 1081=FCM 1081(未收录),,SML(T)=1.2 mg/kg; 限制: expressed as tertiary amine
EU 10/2011 组限量 SML(T),组 8(6 个成员),"317=2,2′-dihydroxy-4-methoxybenzophenone; 318=2,4-dihydroxybenzophenone; 319=2-hydroxy-4-methoxybenzophenone; 359=4,4′-dihydroxybenzophenone; 431=2-hydroxy-4-n-octyloxybenzophenone; 464=2-hydroxy-4-n-hexyloxybenzophenone",,SML(T)=6.0 mg/kg; 限制: expressed as the sum of the substances
EU 10/2011 组限量 SML(T),组 9(5 个成员),"650=dimethyltin bis(isooctyl mercaptoacetate; 695=monomethyltin tris(isooctyl mercaptoacet; 697=monomethyltin tris(ethylhexyl mercaptoac; 698=dimethyltin bis(ethylhexyl mercaptoaceta; 726=reaction products of oleic acid, 2-merca",,SML(T)=0.18 mg/kg; 限制: expressed as tin
EU 10/2011 组限量 SML(T),组 10(14 个成员),28=FCM 28(未收录); 29=FCM 29(未收录); 30=FCM 30(未收录); 31=FCM 31(未收录); 32=FCM 32(未收录); 33=FCM 33(未收录); 466=di-n-octyltin dilaurate; 582=di-n-octyltin bis(2-ethylhexyl maleate); 618=di-n-octyltin mercaptoacetate; 619=di-n-octyltin bis(2-ethylhexyl mercaptoa; 620=di-n-octyltin dimaleate; 646=di-n-octyltin bis(isooctyl mercaptoaceta; 676=di-n-octyltin bis(isooctyl maleate); 736=di-n-octyltin ethyleneglycol ,,SML(T)=0.006 mg/kg; 限制: expressed as tin
EU 10/2011 组限量 SML(T),组 11(3 个成员),66=FCM 66(未收录); 645=FCM 645(未收录); 657=mono-n-octyltin tris(2-ethylhexyl mercap,,SML(T)=1.2 mg/kg; 限制: expressed as tin
EU 10/2011 组限量 SML(T),组 12(3 个成员),"444=2-(2′-hydroxy-5′-methylphenyl)benzotriaz; 469=2-(2′-hydroxy-3,5′-di-tert-butylphenyl)-; 470=2-(2′-hydroxy-3′-tert-butyl-5′-methylphe",,SML(T)=30.0 mg/kg; 限制: expressed as the sum of the substances
EU 10/2011 组限量 SML(T),组 13(2 个成员),"163=2,2′-methylene bis(4-ethyl-6-tert-butylp; 285=2,2′-methylene bis(4-methyl-6-tert-butyl",,SML(T)=1.5 mg/kg; 限制: expressed as the sum of the substances
EU 10/2011 组限量 SML(T),组 14(1 个成员),"294=thiodipropionic acid, didodecyl ester",,SML(T)=5.0 mg/kg; 限制: expressed as the sum of the substances and their oxidation products
EU 10/2011 组限量 SML(T),组 15(3 个成员),"98=formaldehyde; 196=hexamethylenetetramine; 344=1,4-butanediol formal",,SML(T)=15.0 mg/kg; 限制: expressed as formaldehyde
EU 10/2011 组限量 SML(T),组 16(4 个成员),407=sodium tetraborate; 583=boron nitride; 584=boric acid; 599=barium tetraborate,,"SML(T)=6.0 mg/kg; 限制: expressed as boron
                           Without prejudice to the provisions of Directive 98/83/EC"
EU 10/2011 组限量 SML(T),组 17(14 个成员),"4=FCM 4(未收录); 167=2,6-toluene diisocyanate; 169=3,3′-dimethyl-4,4′-diisocyanatobiphenyl; 198=diphenylmethane-4,4′-diisocyanate; 274=octadecyl isocyanate; 354=2,4-toluene diisocyanate; 372=hexamethylene diisocyanate; 460=cyclohexyl isocyanate; 461=1,5-naphthalene diisocyanate; 475=1-isocyanato-3-isocyanatomethyl-3,5,5-tr; 476=diphenylether-4,4′-diisocyanate; 485=dicyclohexylmethane-4,4′-diisocyanat",,SML(T)=0.01 mg/kg; 限制: expressed as isocyanate moiety
EU 10/2011 组限量 SML(T),组 18(2 个成员),"705=acids, fatty, unsaturated (C18), dimers,; 733=FCM 733(未收录)",,SML(T)=0.05 mg/kg; 限制: expressed as the sum of the substances
EU 10/2011 组限量 SML(T),组 19(3 个成员),505=sodium bisulphite; 516=sodium sulphite; 519=sodium thiosulphate,,SML(T)=10.0 mg/kg; 限制: expressed as SO2
EU 10/2011 组限量 SML(T),组 20(3 个成员),"290=gallic acid, propyl ester; 386=gallic acid, octyl ester; 390=gallic acid, dodecyl ester",,SML(T)=30.0 mg/kg; 限制: expressed as the sum of the substances
EU 10/2011 组限量 SML(T),组 21(2 个成员),347=trimellitic acid; 349=trimellitic anhydride,,SML(T)=5.0 mg/kg; 限制: expressed as trimellitic acid
EU 10/2011 组限量 SML(T),组 22(14 个成员),"70=FCM 70(未收录); 147=acrylic acid; 176=acrylic acid, methyl ester; 218=acrylic acid, isobutyl ester; 323=acrylic acid, ethyl ester; 325=acrylic acid, n-butyl ester; 365=acrylic acid, isopropyl ester; 371=acrylic acid, monoester with ethylenegly; 380=acrylic acid, propyl ester; 425=acrylic acid, tert-butyl ester; 446=acrylic acid, benzyl ester; 448=acrylic acid, n-octyl ester; 456=acrylic acid, sec-",,SML(T)=6.0 mg/kg; 限制: expressed as acrylic acid
EU 10/2011 组限量 SML(T),组 23(13 个成员),"150=methacrylic acid; 156=methacrylic acid, methyl ester; 181=methacrylic acid, ethyl ester; 183=methacrylic acid, isobutyl ester; 184=methacrylic acid, butyl ester; 355=methacrylic acid, tert-butyl ester; 370=methacrylic anhydride; 374=methacrylic acid, monoester with ethylen; 439=methacrylic acid, phenyl ester; 440=methacrylic acid, propyl ester; 447=methacrylic acid, benzyl ester; 457=methacryl",,SML(T)=6.0 mg/kg; 限制: expressed as methacrylic acid
EU 10/2011 组限量 SML(T),组 24(2 个成员),"756=2,4-bis(octylthiomethyl)-6-methylphenol; 758=2,4-bis(dodecylthiomethyl)-6-methylpheno",,SML(T)=5.0 mg/kg; 限制: expressed as the sum of the substances
EU 10/2011 组限量 SML(T),组 25(2 个成员),720=mono-n-dodecyltin tris(isooctyl mercapto; 747=di-n-dodecyltin bis(isooctyl mercaptoace,,"SML(T)=0.05 mg/kg; 限制: sum of mono-n-dodecyltin tris(isooctylmercaptoacetate), di-n-dodecyltin bis(isooctyl mercaptoacetate), mono-dodecyltin t"
EU 10/2011 组限量 SML(T),组 26(2 个成员),"728=phthalic acid, diesters with primary, sa; 729=phthalic acid, diesters with primary, sa",,SML(T)=1.8 mg/kg; 限制: expressed as the sum of the substances
EU 10/2011 组限量 SML(T),组 27(2 个成员),188=isophthalic acid dichloride; 291=isophthalic acid,,SML(T)=5.0 mg/kg; 限制: expressed as isophthalic acid
EU 10/2011 组限量 SML(T),组 28(3 个成员),191=terephthalic acid dichloride; 192=phthalic acid; 785=terephthalic acid,,SML(T)=7.5 mg/kg; 限制: expressed as terephthalic acid
EU 10/2011 组限量 SML(T),组 29(2 个成员),342=caprolactone; 672=FCM 672(未收录),,SML(T)=0.05 mg/kg; 限制: expressed as the sum of 6-hydroxyhexanoic acid and caprolactone
EU 10/2011 组限量 SML(T),组 30(3 个成员),"254=1,4-butanediol; 344=1,4-butanediol formal; 672=FCM 672(未收录)",,"SML(T)=5.0 mg/kg; 限制: expressed as 1,4-butanediol"
EU 10/2011 组限量 SML(T),组 31(2 个成员),73=FCM 73(未收录); 797=FCM 797(未收录),,SML(T)=30.0 mg/kg; 限制: expressed as the sum of the substances
EU 10/2011 组限量 SML(T),组 32(22 个成员),"8=FCM 8(未收录); 72=FCM 72(未收录); 73=FCM 73(未收录); 138=tri-n-butyl acetyl citrate; 140=citric acid, triethyl ester; 157=phthalic acid, dibutyl ester; 159=phthalic acid, benzyl butyl ester; 207=adipic acid, bis(2-ethylhexyl) ester; 242=sebacic acid, dibutyl ester; 283=phthalic acid, bis(2-ethylhexyl) ester; 532=soybean oil, epoxidised; 670=glycerol monolaurate diacetate; 728=phthalic acid, diesters with",,"SML(T)=60.0 mg/kg; 限制: expressed as the sum of the substances (plasticisers)
                           *  Diisobutyl phthalate, FCM No 1085, w"
EU 10/2011 组限量 SML(T),组 33(2 个成员),180=eugenol; 874=FCM 874(未收录),,SML(T)=0.01 mg/kg; 限制: expressed as eugenol
EU 10/2011 组限量 SML(T),组 34(2 个成员),"421=1,3-benzenedimethanamine; 988=1,3-bis(isocyanatomethyl)benzene",,"SML(T)=0.05 mg/kg; 限制: Expressed as 1,3-benzenedimethanamine"
EU 10/2011 组限量 SML(T),组 35(3 个成员),467=crotonic acid; 744=3-hydroxybutanoic acid-3- hydroxypentano; 1059=FCM 1059(未收录),,SML(T)=0.05 mg/kg; 限制: expressed as crotonic acid
EU 10/2011 组限量 SML(T),组 36(4 个成员),"157=phthalic acid, dibutyl ester; 159=phthalic acid, benzyl butyl ester; 283=phthalic acid, bis(2-ethylhexyl) ester; 1085*=FCM 1085*(未收录)",,"SML(T)=0.6 mg/kg; 限制: sum of phthalic acid, dibutyl ester (DBP), diisobutyl phthalate (DIBP), phthalic acid, benzyl butyl ester (BBP) and phth"
EU 10/2011 组限量 SML(T),组 37(2 个成员),793=triethanolamine; 1080=FCM 1080(未收录),,SML(T)=0.05 mg/kg; 限制: expressed as the sum of triethanolamine and the hydrochloride adduct expressed as triethanolamine
EU 10/2011 组限量 SML(T),组 38(2 个成员),822=FCM 822(未收录); 1080=FCM 1080(未收录),,SML(T)=0.002 mg/kg; 限制: expressed as perchlorate – note 4 of table 3 applies
EDC 内分泌干扰物,4-壬基酚(含支/直链异构体),4-NONYLPHENOLS,6 个成员已入库,"4-Nonylphenol, branched and linear(26543-97-5); 4-Nonylphenol, branched and linear(104-40-5); 4-Nonylphenol, branched and linear(30784-30-6); 4-Nonylphenol, branched and linear(52427-13-1); 4-Nonylphenol, branched and linear(186825-36-5); 4-Nonylphenol, branched and linear(142731-63-3)"
EDC 内分泌干扰物,4-叔辛基酚,4-TERT-OCYLPHENOLS,1 个成员已入库,None( 140-66-9)
EDC 内分泌干扰物,4-庚基酚与4-叔戊基酚,4-HEPTYLPHENOL AND 4-TERT-PENTYLPHENOL,2 个成员已入库,"4-Heptylphenol, branched and linear(1987-50-4); 4-Heptylphenol, branched and linear(72624-02-3)"
EDC 内分泌干扰物,邻苯二甲酸酯(EU REACH SVHC组),PHTHALATES (EU REACH SVHCs),1 个成员已入库,Bis(2-ethylhexyl) phthalate; DEHP(117-81-7)
EDC 内分泌干扰物,邻苯二甲酸酯(非EU SVHC组),PHTHALATES (NON-EU REACH SVHCs),1 个成员已入库,Diethyl phthalate (DEP)(84-66-2)
EDC 内分泌干扰物,二苯甲酮类紫外吸收剂,BENZOPHENONES,1 个成员已入库,"Benzophenone-1; 2,4- Dihydroxybenzophenone;(131-56-6)"
EDC 内分泌干扰物,樟脑类/桂皮酸类UV滤光剂,"3-BC, MBC, EHMC",1 个成员已入库,"3-Benzylidene camphor (3-BC); 1,7,7- trimethyl-3- (phenylmethylene)bicyclo[2.2.1]heptan-2- one(15087-24-8)"
EDC 内分泌干扰物,双酚F与双酚S,BISPHENOLS F AND S,1 个成员已入库,Bisphenol F(620-92-8)
EDC 内分泌干扰物,BHT与BHA,BHT AND BHA,1 个成员已入库,Butylated hydroxytoluene(128-37-0)
EDC 内分泌干扰物,二硫化碳,CARBON DISULPHIDE,1 个成员已入库,Carbon Disulphide(75-15-0)
EDC 内分泌干扰物,二硫代氨基甲酸酯类,DITHIOCARBAMATES,1 个成员已入库,Metam-sodium(137-42-8)
EDC 内分泌干扰物,甲基叔丁基醚,MTBE,1 个成员已入库,Tert-butyl methyl ether; MTBE(1634-04-4)
EDC 内分泌干扰物,对羟基苯甲酸酯类,PARABENS,1 个成员已入库,Methylparaben(99-76-3)
EDC 内分泌干扰物,其他酚类衍生物,OTHER PHENOL DERIVATIVES,1 个成员已入库,4-nitrophenol(100-02-7)
EDC 内分泌干扰物,五氯酚/戊唑醇/三氯生,"PCP, TEBUCONAZOLE, AND TRICLOSAN",1 个成员已入库,Pentachlorophenol (PCP)(87-86-5)
EDC 内分泌干扰物,四硅氧烷,QUADROSILAN,1 个成员已入库,"2,6-cisDiphenylhexamethylcyclotetrasiloxane(33204-76-1)"
EDC 内分泌干扰物,磷酸三苯酯,TRIPHENYL PHOSPHATE,1 个成员已入库,Triphenyl Phosphate(115-86-6)
